"useless for the following reason","TimeSync","Your PC's time is out of sync","Sync your PC's time with internet time https://youtu.be/xPEKM3zcOaA"
"DBMalformed","DBError","Local block data is corrupted","Delete the content of DB-1.0"
"signalProcess: permission denied (Operation not permitted","StaleLockFile","Launching node without admin rights","Make sure to run Daedalus with admin rights"
"No such file or directory","FileNotFound","File missing","Reinstall Daedalus"
"resource exhausted (No space left on device)","ShortStorage","Not enough space on hard drive to store block data","Create more disk space"
"returned empty list","NetworkError","Firewall is blocking the connection","Use different ISP provider"
"irrelevant to given wallet","BalanceError","Daedalus shows wrong Ada amount","Unknown, Contact IOHK"
"Network.Socket.recvBuf: resource vanished","NetworkError","Network error","Unknown, Contact IOHK"
"IO error: Failed to create dir","UserNameError","User is using non-latin characters for username","Change PC's username to latin-characters"
"open.lock: Locked by","StaleLockFile","open.lock file is corrupted due to improper shutdown","Delete open.lock file"
"IO error: Can not get size for","DBError","Block data possibly corrupted","Delete the content of DB-1.0"
